"id","date","transmissiondate","rrn"
"1065128","2022-05-11 07:23:31.896","2022-05-11 06:23:29","000000600029"
"2098959","2022-08-11 10:53:06.327","2022-08-11 09:52:35","000001224890"
"3711017","2022-10-15 08:00:17.335","2022-10-15 07:00:00","000002281193"
"3862127","2022-10-23 18:31:40.596","2022-10-23 17:31:19","000002399734"
"4196878","2022-11-09 12:35:39.224","2022-11-09 11:32:58","000002666238"
"4215331","2022-11-10 12:38:12.85","2022-11-10 11:34:56","000002681143"
"4270631","2022-11-13 08:44:53.456","2022-11-13 07:41:00","000002726320"
"4425483","2022-11-22 06:44:00.624","2022-11-22 05:38:56","000002852540"
"4610093","2022-12-02 17:26:51.851","2022-12-02 17:21:15","000003004138"
"4675997","2022-12-06 12:24:51.513","2022-12-06 11:24:21","000003058856"
"7824426","2023-04-28 09:23:39.665","2023-04-28 08:22:22","000005593120"
"8093911","2023-05-08 16:17:03.155","2023-05-08 15:17:27","000005805872"
"11105470","2023-09-15 08:26:25.233","2023-09-15 07:24:16","000007963542"
"12102154","2023-11-10 12:37:31.217","2023-11-10 12:37:21","000008676079"
"12367471","2023-11-24 09:00:16","2023-11-23 10:00:17","000008856775"
"12571532","2023-12-04 17:41:40.832","2023-12-04 17:41:38","000009006090"
"12572150","2023-12-04 18:03:49.787","2023-12-04 17:02:50","000009006432"
"9006432","2023-06-12 11:30:42.328","2023-06-12 10:30:31","000009006432"
"12572308","2023-12-04 18:08:02.998","2023-12-04 18:07:02","000009006526"
"12574996","2023-12-04 20:10:51.832","2023-12-04 19:09:52","000009008188"
"12575473","2023-12-04 20:40:19.27","2023-12-04 20:39:16","000009008496"
"9008496","2023-06-12 12:45:33.813","2023-06-12 11:45:25","000009008496"
"12575986","2023-12-04 21:25:34.765","2023-12-04 20:24:33","000009008823"
"9008823","2023-06-12 12:54:54.312","2023-06-12 11:54:45","000009008823"
"12838576","2023-12-18 09:23:26.691","2023-12-18 08:23:04","000009198028"
"12931103","2023-12-22 18:43:28.111","2023-12-22 17:42:59","000009269247"
"12945474","2023-12-23 11:45:48.694","2023-12-23 11:45:29","000009279989"
"13033634","2023-12-27 19:17:09.311","2023-12-27 18:16:30","000009347216"
